Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
9441,-0.94,2.62,-0.06,0.06,0.19,0.00,0.00,0.02,-0.24,0.00,0.00,0.53
9452,-0.94,2.62,-0.06,0.06,0.19,0.00,0.01,0.01,-0.25,0.00,0.00,0.53
9461,-0.94,2.62,-0.06,-0.12,0.19,-0.06,-0.01,0.01,-0.24,0.00,0.00,0.51
9473,-0.94,2.62,-0.06,-0.12,0.19,-0.06,0.00,0.03,-0.24,0.00,0.00,0.51
9481,-0.94,2.62,-0.06,0.06,0.12,0.00,0.01,0.03,-0.23,0.00,0.00,0.53
9492,-0.94,2.62,-0.06,0.06,0.12,0.00,0.00,0.04,-0.23,0.00,0.00,0.54
9500,-0.94,2.62,-0.06,-0.12,0.25,-0.06,0.00,0.02,-0.26,0.00,0.00,0.53
9511,-0.94,2.62,-0.06,-0.12,0.25,-0.06,0.00,0.03,-0.27,0.00,0.00,0.52
9520,-0.94,2.62,-0.06,0.00,-0.12,0.12,0.00,0.03,-0.26,0.00,0.00,0.52
9529,-0.94,2.62,-0.06,0.06,0.19,-0.12,0.00,0.03,-0.26,0.00,0.00,0.51
